County,pos_perc,week_ttot
GILCHRIST,14.124293785310735,177
PUTNAM,20.97966728280961,1082
TAYLOR,13.609467455621301,169
OKALOOSA,8.836907082521117,3078
CALHOUN,20.161290322580644,124
PALM BEACH,17.93869574161695,19444
ST. LUCIE,21.181604565290364,2979
PASCO,17.266678041289882,5861
GADSDEN,15.297906602254429,621
LEON,12.129051894688784,6571
JEFFERSON,14.285714285714285,126
MADISON,18.71657754010695,374
LIBERTY,37.704918032786885,61
HAMILTON,19.661016949152543,295
BAY,29.523809523809526,1470
COLUMBIA,11.627906976744185,774
BAKER,15.460526315789474,304
HOLMES,13.259668508287293,181
MARTIN,23.84028185554903,1703
HILLSBOROUGH,21.053112298488376,21897
MANATEE,13.959767787228298,7407
CLAY,15.136268343815514,2385
HARDEE,22.36503856041131,389
MARION,11.751662971175167,3157
VOLUSIA,16.86266693242974,5017
DIXIE,13.114754098360656,122
LAKE,12.758936755270394,5455
LEVY,11.989100817438691,367
SUMTER,8.575112830431978,1551
SEMINOLE,16.016083095995977,5969
ORANGE,19.412482566248258,22944
CITRUS,9.815950920245399,1304
HERNANDO,15.509915014164305,1412
PINELLAS,17.012032085561497,14960
SUWANNEE,28.053435114503817,524
DUVAL,19.42912226208965,18673
LAFAYETTE,14.084507042253522,71
GULF,8.521303258145362,399
UNION,15.789473684210526,190
BRADFORD,7.6923076923076925,247
WAKULLA,10.443037974683545,316
BREVARD,9.591922591501893,9508
POLK,21.77899499880924,8398
OSCEOLA,22.23920519679022,5234
HIGHLANDS,6.651017214397497,1278
LEE,24.226584168978025,9374
COLLIER,23.9450441609421,4076
MIAMI-DADE,24.732060657645608,57569
MONROE,11.729957805907173,1185
SANTA ROSA,18.441971383147855,1887
WALTON,18.786982248520708,676
JACKSON,9.62962962962963,540
WASHINGTON,11.842105263157894,152
NASSAU,12.211466865227104,1343
GLADES,16.455696202531644,79
CHARLOTTE,12.16702663786897,1389
SARASOTA,13.664706930340282,5613
DESOTO,18.22429906542056,856
FLAGLER,10.626992561105206,941
HENDRY,24.085365853658537,656
INDIAN RIVER,11.418975650713687,2382
BROWARD,19.09392204661864,36509
ESCAMBIA,20.83960843373494,5312
OKEECHOBEE,13.627992633517497,543
FRANKLIN,1.8404907975460123,489
ALACHUA,10.50218795582413,4799
ST. JOHNS,14.822738386308068,3272
UNKNOWN,15.722120658135283,547
